Reference,Superstructure type,Intesnity Measure,Number of spans,Joint type,Soil type,Column type,Skewness,Horizontal curve,Abutment stiffness,"Seismic design (SD, NSD)",States,Retrofitted,"Fault (Near Fault, Far Field,Both,reverse,Strike-Slip)",Time Dependent(years),Environmental Condition,Description,Units,Number of Damage States,Slight DS(median),Slight DS(Dispersion),Moderate DS(median),Moderate DS(Dispersion),Extensive DS(median),Extensive DS(dipersion),Complete DS(median),Complete DS(Dispersion)
"Mander (1999),St,4MSSS_MC,SD,Soil=Type_C",Steel,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.527355387,0.6,0.7285831,0.6,1.06164966,0.6
"Mander (1999),PC,4MSSS_MC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.527355387,0.6,0.7285831,0.6,1.06164966,0.6
"Mander (1999),C,4MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Concrete,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.242861033,0.6,0.305311013,0.6,0.451027633,0.6
"Mander (1999),St,4MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Steel,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.23680747,0.6,0.297700819,0.6,0.439785301,0.6
"Mander (1999),PC,4MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.242861033,0.6,0.305311013,0.6,0.451027633,0.6
"Mander (1999),C,4MSSS_MC,NSD_California,Soil=Type_C",Concrete,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.319188787,0.6,0.388577653,0.6,0.575927593,0.6
"Mander (1999),St,4MSSS_MC,NSD_California,Soil=Type_C",Steel,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.319188787,0.6,0.388577653,0.6,0.575927593,0.6
"Mander (1999),PC,4MSSS_MC,NSD_California,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.319188787,0.6,0.388577653,0.6,0.575927593,0.6
"Mander (1999),C,4MSSS_SC,SD,Soil=Type_C",Concrete,Sa(1.0),Four,Simply Supported,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.36,0.6,0.610622027,0.6,0.846544173,0.6,1.006138566,0.6
"Mander (1999),PC,4MSSS_SC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Simply Supported,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.36,0.6,0.610622027,0.6,0.846544173,0.6,1.006138566,0.6
"Mander (1999),C,4MSC_SC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.233333333,0.6,0.294998305,0.6,0.351188458,0.6,0.519758918,0.6
"Mander (1999),PC,4MSC_SC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.233333333,0.6,0.294998305,0.6,0.351188458,0.6,0.519758918,0.6
"Mander (1999),C,4MSC_SC,SD,Soil=Type_C",Concrete,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.639162994,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),PC,4MSC_SC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.639162994,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),C,4MSC_SC,NSD_nonCalifonia,Soil=Type_C",Concrete,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.554877764,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),PC,4MSC_SC,NSD_nonCalifonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.554877764,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),C,4MSC_SC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.554877764,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),PC,4MSC_SC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.554877764,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),C,4MSC_MC,SD,Soil=Type_C",Concrete,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.639162994,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),PC,4MSC_MC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.639162994,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),C,4MSC_MC,NSD_nonCalifonia,Soil=Type_C",Concrete,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.554877764,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),PC,4MSC_MC,NSD_nonCalifonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.554877764,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),C,4MSC_MC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.554877764,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),PC,4MSC_MC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.554877764,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),St,4MSC_SC,SD,Soil=Type_C",Steel,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.639162994,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),St,4MSC_SC,NSD_nonCalifonia,Soil=Type_C",Steel,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.510871441,0.6,0.510871441,0.6,0.699087236,0.6
"Mander (1999),St,4MSC_SC,NSD_Califonia,Soil=Type_C",Steel,Sa(1.0),Four,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.533806457,0.6,0.533806457,0.6,0.730471994,0.6
"Mander (1999),St,4MSC_MC,SD,Soil=Type_C",Steel,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.639162994,0.6,0.737495763,0.6,0.969280145,0.6
"Mander (1999),St,4MSC_MC,NSD_nonCalifonia,Soil=Type_C",Steel,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.510871441,0.6,0.510871441,0.6,0.699087236,0.6
"Mander (1999),St,4MSC_MC,NSD_Califonia,Soil=Type_C",Steel,Sa(1.0),Four,Continuous,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.506666667,0.6,0.533806457,0.6,0.533806457,0.6,0.730471994,0.6
"Mander (1999),C,5MSSS_MC,SD,Soil=Type_C",Concrete,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.522260046,0.6,0.721543484,0.6,1.051391935,0.6
"Mander (1999),St,5MSSS_MC,SD,Soil=Type_C",Steel,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.522260046,0.6,0.721543484,0.6,1.051391935,0.6
"Mander (1999),PC,5MSSS_MC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.522260046,0.6,0.721543484,0.6,1.051391935,0.6
"Mander (1999),C,5MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Concrete,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.240514495,0.6,0.302361079,0.6,0.446669776,0.6
"Mander (1999),St,5MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Steel,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.235943732,0.6,0.296614977,0.6,0.438181216,0.6
"Mander (1999),PC,5MSSS_MC,NSD_nonCalifornia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.173333333,0.6,0.240514495,0.6,0.302361079,0.6,0.446669776,0.6
"Mander (1999),C,5MSSS_MC,NSD_California,Soil=Type_C",Concrete,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.316104765,0.6,0.384823192,0.6,0.570362945,0.6
"Mander (1999),St,5MSSS_MC,NSD_California,Soil=Type_C",Steel,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.316104765,0.6,0.384823192,0.6,0.570362945,0.6
"Mander (1999),PC,5MSSS_MC,NSD_California,Soil=Type_C",Prestressed Concrete,Sa(1.0),Five,Simply Supported,Type_C,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.22,0.6,0.316104765,0.6,0.384823192,0.6,0.570362945,0.6
"Mander (1999),C,5MSSS_SC,SD,Soil=Type_C",Concrete,Sa(1.0),Five,Simply Supported,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.36,0.6,0.604722158,0.6,0.838364811,0.6,0.996417193,0.6
"Mander (1999),PC,5MSSS_SC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Five,Simply Supported,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.36,0.6,0.604722158,0.6,0.838364811,0.6,0.996417193,0.6
"Mander (1999),C,5MSC_SC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Five,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.233333333,0.6,0.291321129,0.6,0.346810867,0.6,0.513280084,0.6
"Mander (1999),PC,5MSC_SC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.233333333,0.6,0.291321129,0.6,0.346810867,0.6,0.513280084,0.6
"Mander (1999),C,5MSC_SC,SD,Soil=Type_C",Concrete,Sa(1.0),Five,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.631195779,0.6,0.728302822,0.6,0.957197994,0.6
"Mander (1999),PC,5MSC_SC,SD,Soil=Type_C",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_C,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.631195779,0.6,0.728302822,0.6,0.957197994,0.6
"Mander (1999),C,5MSC_SC,NSD_nonCalifonia,Soil=Type_C",Concrete,Sa(1.0),Five,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.547961171,0.6,0.728302822,0.6,0.957197994,0.6
"Mander (1999),PC,5MSC_SC,NSD_nonCalifonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.547961171,0.6,0.728302822,0.6,0.957197994,0.6
"Mander (1999),C,5MSC_SC,NSD_Califonia,Soil=Type_C",Concrete,Sa(1.0),Five,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.547961171,0.6,0.728302822,0.6,0.957197994,0.6
"Mander (1999),PC,5MSC_SC,NSD_Califonia,Soil=Type_C",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_C,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.4,0.6,0.547961171,0.6,0.728302822,0.6,0.957197994,0.6
"Mander (1999),C,5MSC_MC,SD,Soil=Type_C",Concrete,Sa(1.0),Five,Continuous,Type_C,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.606666667,0.6,0.631195779,0.6,0.728302822,0.6,0.957197994,0.6
